state	Year	cost_per_pack	tax_dollar	tax_state	tax_percent	sales_per_capita	tax_revenue	index	price_cpi
Alabama	1970	0.427	0.2	0.12	46.8	89.8	36739131	38.825	2.529555698647778
Alabama	1971	0.423	0.2	0.12	47.3	95.4	39490694	40.49166666666667	2.4027166083556284
Alabama	1972	0.421	0.2	0.12	47.5	101.1	42198422	41.81666666666666	2.3155838979673176
Alabama	1973	0.431	0.2	0.12	46.4	102.9	43328876	44.4	2.232657657657658
Alabama	1974	0.466	0.2	0.12	42.9	108.2	45943402	49.30833333333334	2.1736690890654047
Alabama	1975	0.504	0.2	0.12	39.7	111.7	47956285	53.81666666666667	2.153979560235367
Alabama	1976	0.501	0.2	0.12	39.9	116.2	50409197	56.90833333333333	2.024835261385269
Alabama	1977	0.551	0.2	0.12	36.3	117.1	51516608	60.608333333333334	2.090966588752922
Alabama	1978	0.568	0.2	0.12	35.2	123	54460929	65.23333333333333	2.0026571282575367
Alabama	1979	0.606	0.2	0.12	33.3	121.4	54496057	72.575	1.9204960385807783
Alabama	1980	0.688	0.24	0.12	34.9	123.2	55701205	82.40833333333333	1.9201941551218524
Alabama	1981	0.731	0.24	0.16	32.8	119.6	72852874	90.925	1.8491064063788836
Alabama	1982	0.844	0.24	0.16	38.4	119.1	74641962	96.5	2.0116062176165803
Alabama	1983	0.908	0.32	0.16	35.2	116.3	73371489	99.6	2.0967871485943776
Alabama	1984	0.99	0.325	0.16	32.8	113	72144256	103.88333333333333	2.1918819188191883
Alabama	1985	1.03	0.325	0.165	31.6	114.5	76693928	107.56666666666666	2.2023551286024174
Alabama	1986	1.1	0.325	0.165	29.6	116.3	77175083	109.60833333333333	2.308218657340531
Alabama	1987	1.144	0.325	0.165	28.5	114	77097672	113.625	2.3156875687568754
Alabama	1988	1.223	0.325	0.165	26.6	112.1	76529290	118.25833333333333	2.3786061588330636
Alabama	1989	1.391	0.325	0.165	23.4	105.6	74959156	123.96666666666667	2.5807744017208925
Alabama	1990	1.444	0.325	0.165	22.5	108.6	74656216	130.65833333333333	2.541896804643153
Alabama	1991	1.722	0.365	0.165	21.2	107.9	73585654	136.19166666666666	2.9081074466132293
Alabama	1992	1.762	0.365	0.165	20.7	109.1	73149118	140.31666666666666	2.888181494239221
Alabama	1993	1.546	0.405	0.165	26.2	108.5	72619924	144.45833333333334	2.4614710124026535
Alabama	1994	1.551	0.405	0.165	26.1	107.1	72324900	148.225	2.406679035250464
Alabama	1995	1.583	0.405	0.165	25.6	102.6	70450119	152.38333333333333	2.3893032921360606
Alabama	1996	1.674	0.405	0.165	24.2	101.4	70950600	156.85	2.454701944532993
Alabama	1997	1.805	0.405	0.165	22.4	104.9	73953302	160.51666666666665	2.5863357906759425
Alabama	1998	1.956	0.405	0.165	20.7	106.2	74878439	163.00833333333333	2.7598589029190737
Alabama	1999	2.707	0.405	0.165	15	100.7	71844367	166.575	3.7377157436590127
Alabama	2000	2.884	0.505	0.165	17.5	96.2	70664938	172.2	3.8520325203252033
Alabama	2001	3.23	0.505	0.165	15.6	90.5	66373279	177.06666666666666	4.195594879518072
Alabama	2002	3.282	0.555	0.165	16.9	84.8	62450667	179.875	4.196580958999306
Alabama	2003	3.234	0.555	0.165	17.2	82.2	61161426	183.95833333333334	4.043415628539071
Alabama	2004	3.569	0.815	0.425	22.8	87.9	71463596	188.88333333333333	4.345910173828642
Alabama	2005	3.56	0.815	0.425	22.9	82.4	158457030	195.29166666666666	4.19270322167698
Alabama	2006	3.535	0.815	0.425	23.1	83.3	161434908	201.59166666666667	4.033152825430945
Alabama	2007	3.759	0.815	0.425	21.7	80.2	156820995	207.34241666666668	4.1697690896982404
Alabama	2008	3.752	0.815	0.425	21.7	78	153461159	215.3025	4.008128098837681
Alabama	2009	4.548	1.435	0.425	31.6	75.6	149746028	214.537	4.875802309158793
Alabama	2010	4.726	1.435	0.425	30.4	71.5	143144386	218.0555	4.984877703153555
Alabama	2011	4.845	1.435	0.425	29.6	68.4	138999738	224.93916666666667	4.9540060831261785
Alabama	2012	4.841	1.435	0.425	29.6	67.2	137207735	229.59391666666667	4.849562288780154
Alabama	2013	4.942	1.435	0.425	29	64.6	132215587	232.95708333333334	4.879267819358716
Alabama	2014	5.102	1.435	0.425	28.1	61.7	126853195	236.73616666666666	4.956826058826387
Alabama	2015	5.305	1.685	0.425	31.8	60.7	125105125	237.017	5.147942974554567
Alabama	2016	5.41	1.685	0.675	31.1	60.1	163948123	240.00716666666668	5.184428520537234
Alabama	2017	5.452	1.685	0.675	30.9	58.1	180386973	245.11958333333334	5.11570712934333
Alabama	2018	5.55	1.685	0.675	30.4	54.7	172649066	251.10683333333333	5.083493678985239
Alabama	2019	5.784	1.685	0.675	29.1	53.1	165763113	255.65741666666668	5.203525942431424
Alaska	1970	0.418	0.16	0.08	38.3	121.3	2737000	38.825	2.4762395363811973
Alaska	1971	0.421	0.16	0.08	38	123	2996000	40.49166666666667	2.3913562461411813
Alaska	1972	0.42	0.16	0.08	38.1	130	3255000	41.81666666666666	2.310083698684735
Alaska	1973	0.438	0.16	0.08	36.5	125.8	3274000	44.4	2.268918918918919
Alaska	1974	0.449	0.16	0.08	35.6	130.4	3444000	49.30833333333334	2.094372148047997
Alaska	1975	0.483	0.16	0.08	33.1	150.4	4056000	53.81666666666667	2.064230411892227
Alaska	1976	0.515	0.16	0.08	31.1	164.8	4649000	56.90833333333333	2.0814174842583104
Alaska	1977	0.563	0.16	0.08	28.4	159.3	4868000	60.608333333333334	2.13650488106696
Alaska	1978	0.571	0.16	0.08	28	143.6	4676000	65.23333333333333	2.0132345426673477
Alaska	1979	0.609	0.16	0.08	26.3	138.1	4451000	72.575	1.9300034447123664
Alaska	1980	0.635	0.16	0.08	25.2	134	4351000	82.40833333333333	1.772272221660431
Alaska	1981	0.728	0.16	0.08	22	144	4607000	90.925	1.8415177343964804
Alaska	1982	0.86	0.16	0.08	18.6	148.3	4888000	96.5	2.049740932642487
Alaska	1983	0.962	0.24	0.08	24.9	146.9	5148000	99.6	2.2214859437751007
Alaska	1984	1.027	0.24	0.08	23.4	133.6	5341000	103.88333333333333	2.27380073800738
Alaska	1985	1.1	0.32	0.08	29.1	128.9	5395000	107.56666666666666	2.352029748992873
Alaska	1986	1.215	0.32	0.16	26.3	126.3	8191000	109.60833333333333	2.5495324260624956
Alaska	1987	1.254	0.32	0.16	25.6	110.4	9503000	113.625	2.538349834983498
Alaska	1988	1.394	0.32	0.16	23	80	8865000	118.25833333333333	2.711183144246353
Alaska	1989	1.702	0.45	0.16	26.4	94.4	8130515	123.96666666666667	3.15778435063189
Alaska	1990	2.017	0.45	0.16	22.3	100.2	13450527	130.65833333333333	3.5505580713055678
Alaska	1991	2.073	0.49	0.29	23.6	101.8	16377954	136.19166666666666	3.5008749923514655
Alaska	1992	2.191	0.49	0.29	22.4	98.5	15812651	140.31666666666666	3.591376648057964
Alaska	1993	2.009	0.54	0.29	26.9	95.2	15321090	144.45833333333334	3.1986385924430336
Alaska	1994	2.014	0.53	0.29	25.2	94.1	15548000	148.225	3.125113847191769
Alaska	1995	2.125	0.53	0.29	24.9	89.5	15752759	152.38333333333333	3.207371759816253
Alaska	1996	2.144	0.53	0.29	24.7	89.9	15907733	156.85	3.1438954415046223
Alaska	1997	2.97	1.24	0.29	41.8	81.7	14379771	160.51666666666665	4.25563285224795
Alaska	1998	3.276	1.24	0.29	37.9	78.6	28431309	163.00833333333333	4.622340371146669
Alaska	1999	4.047	1.24	1	30.6	70.5	42915000	166.575	5.587933363349842
Alaska	2000	4.397	1.34	1	30.5	66	43091506	172.2	5.872880371660861
Alaska	2001	4.433	1.34	1	30.2	65.2	40893899	177.06666666666666	5.758226656626506
Alaska	2002	4.591	1.39	1	30.3	63.7	40434020	179.875	5.870354412786658
Alaska	2003	4.415	1.39	1	31.5	63.6	40239153	183.95833333333334	5.52
Alaska	2004	5.03	1.39	1	27.6	63.6	41260582	188.88333333333333	6.124944851319157
Alaska	2005	5.61	1.99	1.6	35.5	60.2	48750294	195.29166666666666	6.607040751013442
Alaska	2006	5.819	2.19	1.6	37.6	54.5	57910992	201.59166666666667	6.639014509528337
Alaska	2007	6.351	2.39	1.8	37.6	52.9	63849816	207.34241666666668	7.04501289935449
Alaska	2008	6.69	2.39	2	35.7	47	64193492	215.3025	7.146688960880622
Alaska	2009	7.605	3.01	2	39.6	45.8	62882219	214.537	8.15313908556566
Alaska	2010	7.607	3.01	2	39.6	43.8	61237633	218.0555	8.023691216227062
Alaska	2011	8.494	3.01	2	35.4	43.3	61478147	224.93916666666667	8.685103750273221
Alaska	2012	8.3	3.01	2	36.3	41.2	59586835	229.59391666666667	8.314680230711689
Alaska	2013	8.659	3.01	2	34.8	39	56983372	232.95708333333334	8.549085400207835
Alaska	2014	8.901	3.01	2	33.8	37.2	54624390	236.73616666666666	8.647728096749052
Alaska	2015	9.018	3.01	2	33.4	35.8	52702165	237.017	8.751017859478434
Alaska	2016	9.013	3.01	2	33.4	35.6	52573488	240.00716666666668	8.637200416931995
Alaska	2017	9.253	3.01	2	32.5	32.9	48857026	245.11958333333334	8.682252030046559
Alaska	2018	9.37	3.01	2	32.1	31.1	46021896	251.10683333333333	8.582402841818322
Alaska	2019	9.553	3.01	2	31.5	30.4	44773153	255.65741666666668	8.594274434309716
Arizona	1970	0.385	0.18	0.1	46.7	115.2	19510371	38.825	2.2807469414037347
Arizona	1971	0.38	0.18	0.1	47.4	109.6	19640088	40.49166666666667	2.1584688207450093
Arizona	1972	0.387	0.18	0.1	46.5	125	23116211	41.81666666666666	2.128577122359506
Arizona	1973	0.392	0.18	0.1	45.9	128.3	24963408	44.4	2.0306306306306308
Arizona	1974	0.477	0.21	0.1	44	133.1	27387025	49.30833333333334	2.2249788744296093
Arizona	1975	0.491	0.21	0.13	42.8	121.8	34513342	53.81666666666667	2.0984205636419944
Arizona	1976	0.487	0.21	0.13	43.1	122.3	35349459	56.90833333333333	1.9682530385122272
Arizona	1977	0.536	0.21	0.13	39.2	121.7	35910542	60.608333333333334	2.0340437233603743
Arizona	1978	0.586	0.21	0.13	35.8	124.7	37232113	65.23333333333333	2.0661216147164025
Arizona	1979	0.608	0.21	0.13	34.5	124.6	38135772	72.575	1.9268343093351703
Arizona	1980	0.633	0.21	0.13	33.2	126.8	40387868	82.40833333333333	1.7666902619071696
Arizona	1981	0.733	0.21	0.13	28.6	113.8	40210749	90.925	1.854165521033819
Arizona	1982	0.805	0.21	0.13	26.1	113.5	41240299	96.5	1.9186528497409328
Arizona	1983	0.928	0.29	0.13	31.3	111.1	41322538	99.6	2.142971887550201
Arizona	1984	0.988	0.31	0.13	31.4	107.1	42047774	103.88333333333333	2.1874538745387455
Arizona	1985	1.067	0.31	0.15	29.1	107.1	49914889	107.56666666666666	2.2814688565230865
Arizona	1986	1.135	0.31	0.15	27.3	107.9	51271543	109.60833333333333	2.381661978255911
Arizona	1987	1.135	0.31	0.15	27.2	106.1	51756221	113.625	2.297469746974697
Arizona	1988	1.256	0.31	0.15	24.3	102.2	52761017	118.25833333333333	2.4427876823338734
Arizona	1989	1.302	0.31	0.15	23.8	96.8	50497361	123.96666666666667	2.415649368109707
Arizona	1990	1.514	0.34	0.15	22.5	88.9	47367639	130.65833333333333	2.665118948912558
Arizona	1991	1.657	0.38	0.15	22.9	81.2	52400987	136.19166666666666	2.798335678883926
Arizona	1992	1.836	0.38	0.18	20.7	79	53152206	140.31666666666666	3.0094785603990974
Arizona	1993	1.621	0.42	0.18	25.9	80.3	54098346	144.45833333333334	2.580882607441592
Arizona	1994	1.629	0.42	0.18	25.8	79	54392580	148.225	2.527711249789172
Arizona	1995	2.079	0.82	0.18	39.4	77.3	109614212	152.38333333333333	3.1379415946625837
Arizona	1996	2.22	0.82	0.58	36.9	71.4	171622649	156.85	3.2553394963340776
Arizona	1997	2.31	0.82	0.58	35.5	64.6	166315143	160.51666666666665	3.3099366628595166
Arizona	1998	2.501	0.82	0.58	32.8	66	169626199	163.00833333333333	3.5288379939675885
Arizona	1999	3.177	0.82	0.58	25.8	61.7	166481637	166.575	4.386672669968483
Arizona	2000	3.458	0.92	0.58	26.6	58.5	162795250	172.2	4.61869918699187
Arizona	2001	3.606	0.92	0.58	25.5	54.1	160870757	177.06666666666666	4.683998493975904
Arizona	2002	3.85	1.57	0.58	40.8	52	160155700	179.875	4.922863099374566
Arizona	2003	4.031	1.57	1.18	38.9	48.2	216941668	183.95833333333334	5.039891279728199
Arizona	2004	3.967	1.57	1.18	39.6	42.5	280173860	188.88333333333333	4.830547957292862
Arizona	2005	4.156	1.57	1.18	37.8	42.3	286386310	195.29166666666666	4.894627693620653
Arizona	2006	4.35	1.57	1.18	36.1	42.2	296078470	201.59166666666667	4.963002769625067
Arizona	2007	5.202	2.39	2	45.9	37.5	354887901	207.34241666666668	5.770454590212888
Arizona	2008	5.466	2.39	2	43.7	31.8	397172122	215.3025	5.839133312432508
Arizona	2009	6.274	3.01	2	48	28.6	371476941	214.537	6.7262057360734975
Arizona	2010	6.459	3.01	2	46.6	24.8	327381714	218.0555	6.8128068312883645
Arizona	2011	6.492	3.01	2	46.4	27.1	328721247	224.93916666666667	6.638061401786409
Arizona	2012	6.6	3.01	2	45.6	25	322217444	229.59391666666667	6.611673436469535
Arizona	2013	6.622	3.01	2	45.5	24.4	316111769	232.95708333333334	6.537942432171877
Arizona	2014	6.752	3.01	2	44.6	23	304872144	236.73616666666666	6.559876430653815
Arizona	2015	6.916	3.01	2	43.5	23	310164906	237.017	6.7112485602298575
Arizona	2016	6.923	3.01	2	43.5	23.1	318976882	240.00716666666668	6.634343557796538
Arizona	2017	7.104	3.01	2	42.4	22.5	316089295	245.11958333333334	6.665807675505323
Arizona	2018	7.362	3.01	2	40.9	21.8	306302317	251.10683333333333	6.743185669313393
Arizona	2019	7.513	3.01	2	40.1	20.7	296712275	255.65741666666668	6.759005948389919
